"Concept"	"Feature"
"1621"	"chandelier"	"used_by_hanging"
"1622"	"chandelier"	"used_by_hanging_from_ceilings"
"1623"	"chandelier"	"used_for_making_light"
"1694"	"chicken"	"a_bird"
"1695"	"chicken"	"an_animal"
"1696"	"chicken"	"beh_-_cannot_fly"
"1697"	"chicken"	"beh_-_clucks"
"1698"	"chicken"	"beh_-_eats"
"1699"	"chicken"	"beh_-_eats_grain"
"1700"	"chicken"	"beh_-_flies"
"1701"	"chicken"	"beh_-_lays_eggs"
"1702"	"chicken"	"beh_-_pecks"
"1703"	"chicken"	"eaten_by_frying"
"1704"	"chicken"	"has_a_beak"
"1705"	"chicken"	"has_feathers"
"1706"	"chicken"	"has_legs"
"1707"	"chicken"	"has_wings"
"1708"	"chicken"	"is_domestic"
"1709"	"chicken"	"is_edible"
"1710"	"chicken"	"is_loud"
"1711"	"chicken"	"is_stupid"
"1712"	"chicken"	"lives_in_coops"
"1713"	"chicken"	"lives_on_farms"
"1847"	"closet"	"a_space"
"1848"	"closet"	"found_in_bedrooms"
"1849"	"closet"	"found_in_hallways"
"1850"	"closet"	"has_doors"
"1851"	"closet"	"has_hangers"
"1852"	"closet"	"has_hanging_bars"
"1853"	"closet"	"has_shelves"
"1854"	"closet"	"is_dark"
"1855"	"closet"	"is_messy"
"1856"	"closet"	"is_small"
"1857"	"closet"	"used_for_storage"
"1858"	"closet"	"used_for_storing_clothing"
"1859"	"closet"	"used_for_storing_shoes"
"1893"	"coconut"	"a_fruit"
"1894"	"coconut"	"eaten_as_meat"
"1895"	"coconut"	"grows_in_warm_climates"
"1896"	"coconut"	"grows_on_palm_trees"
"1897"	"coconut"	"grows_on_trees"
"1898"	"coconut"	"has_a_brown_outside"
"1899"	"coconut"	"has_a_hard_shell"
"1900"	"coconut"	"has_a_shell"
"1901"	"coconut"	"has_an_inside"
"1902"	"coconut"	"has_an_outside"
"1903"	"coconut"	"has_hair"
"1904"	"coconut"	"has_milk"
"1905"	"coconut"	"is_brown"
"1906"	"coconut"	"is_edible"
"1907"	"coconut"	"is_hard"
"1908"	"coconut"	"is_round"
"1909"	"coconut"	"is_tropical"
"1910"	"coconut"	"is_white"
"1911"	"coconut"	"is_white_inside"
"1912"	"coconut"	"tastes_good"
"1913"	"coconut"	"tastes_sweet"
"2118"	"crayon"	"comes_in_boxes"
"2119"	"crayon"	"different_colours"
"2120"	"crayon"	"is_breakable"
"2121"	"crayon"	"is_colourful"
"2122"	"crayon"	"is_meltable"
"2123"	"crayon"	"made_by_Crayola"
"2124"	"crayon"	"made_of_wax"
"2125"	"crayon"	"used_by_children"
"2126"	"crayon"	"used_for_colouring"
"2127"	"crayon"	"used_for_colouring_books"
"2128"	"crayon"	"used_for_drawing"
"2129"	"crayon"	"used_for_drawing_pictures"
"2130"	"crayon"	"used_for_writing"
"2255"	"cushion"	"a_pillow"
"2256"	"cushion"	"different_colours"
"2257"	"cushion"	"found_on_beds"
"2258"	"cushion"	"found_on_chairs"
"2259"	"cushion"	"found_on_couches"
